already_projected_amount,co_benefits,costs_and_benefits_private,costs_and_benefits_public,filename,funding,ghg_reduction_2020,ghg_reduction_2025,ghg_reduction_2030,ghg_reduction_2035,ghg_reduction_2040,ghg_reduction_2050,is_adaptation_policy,is_emissions_reduction_policy,policy_description,quantification_of_ghg_emissions_reductions,relative_cost,responsibility_or_implementation,responsibility_or_implementation_details,sector,supporting_activities,target_or_performance_metric,target_year,timeframe
,,,,CA_County_SanDiego_2018_files_part152.htm,,,,,,,,False,True,"CALGreen Tier 1 for residential construction, as it pertains to water-efficient kitchen faucets and ENERGY STAR-rated dishwashers and clothes washers.",,,,,,,,,
,,,,CA_County_SanDiego_2018_files_part183.htm,,,,,,,,False,True,This measure will reduce emissions from off-road farm equipment by replacing diesel-powered farm equipment with electric.,,,,,Agriculture,,Emissions reduction,,
,,,,CA_County_SanDiego_2018_files_part183.htm,,,,,,,,False,True,"The San Diego County Air Pollution Control District’s (SDAPCD’s) financial incentives may also be used for cleaner engine replacements, which could help improve fuel efficiency.",,,,,Agriculture,,Fuel efficiency improvement,,
,,,,CA_City_ImperialBeach_2019_files_part38.htm,,,,31 MT CO2e,,,,False,True,Measure S.1 would sequester carbon via a net increase of trees in the community.,,,,City and collaboration with other agencies,Forestry,,A net increase of trees in the community,,
,,,,CA_City_ImperialBeach_2019_files_part38.htm,,,,31 MT CO2e,,,,False,True,Plant 866 trees by 2030.,,,,,Forestry,,Plant 866 trees by 2030,,
,,,,CA_City_ImperialBeach_2019_files_part38.htm,,,,,,,,False,True,Identify opportunities to enhance or conserve habitat that would sequester carbon in collaboration with relevant state and federal agencies,,,,City,Forestry and Biodiversity,,,,Medium-term
,,,,CA_City_ImperialBeach_2019_files_part38.htm,,,,,,,,True,False,"The City will also identify and pursue opportunities to enhance and conserve habitat within City boundaries, the Tijuana Estuary, and along the San Diego Bay in collaboration with the partnering agencies.",,,,City and partnering agencies,Biodiversity,,,,
,,,,CA_County_SanDiego_2018_files_part155.htm,,,,,,,,True,False,Water Savings,,,,,Water,,,,
,,,,CA_County_SanDiego_2018_files_part155.htm,,,,,,,,True,False,Community Health,,,,,Health,,,,
,,,,CA_City_SolanaBeach_2017_files_part44.htm,,,,,,,,False,True,Implementation and maintenance of a CAP,,,,,Land Use,,,,
,,,,CA_City_SolanaBeach_2017_files_part44.htm,,,,,,,,False,True,"Redevelopment, infill, and new growth is expected to occur within the “downtown” or “town center” area of the City. These areas are intended to accommodate compact, mixed-use, and walkable areas that are connected to the regional transportation system.",,,,,Urban Development,,,,
,,,,CA_County_SanDiego_2018_files_part129.htm,,,,,,,,False,True,"Increase installation of photovoltaic (PV) electrical systems in 52,273 existing homes by 2020 and an additional 77,902 homes by 2030",,,,,,,,,
,,,,CA_City_Santee_2020_files_part59.htm,,,,,,,,False,True,Emissions Category - Source of GHG emissions by category. Emissions categories include residential energy...,,,,,Emissions Category,,,,
,,,,CA_City_Santee_2020_files_part59.htm,,,,45,45,,,False,True,Energy Audits in the Existing Residential Sector,,,,"Require all existing residential units that seek building permits for minor modifications, alterations, and additions to perform energy audits and include energy efficiency retrofit recommendations.",Residential,,,2030 and 2035,On or before December 2020
,,,,CA_City_Santee_2020_files_part59.htm,,,,"7,811","7,811",,,False,True,Energy Audits of Existing Residential Units Requesting Permits for Major Modifications.,,,,Require all existing residential units seeking building permits for modifications representing 30% or more of the square footage... to perform energy audits and retrofits...,Residential,,,2030 and 2035,On or before December 2020
,,,,CA_City_Santee_2020_files_part59.htm,,,,"13,524","17,750",,,False,True,City Action: Require all New Residential Construction to be Built to California Green Building Standards Tier 2,,,,Require all new residential units including accessory residential units to meet or exceed California Green Building Standards Tier 2 Voluntary Measures.,Residential,,,2030 and 2035,On or before December 2020
,,,,CA_City_Santee_2020_files_part59.htm,,,,"8,705","12,337",,,False,True,City Action: Require all New Commercial Construction to be Built to California Green Building Standards Tier 2,,,,Require all new commercial units to meet or exceed California Green Building Standards Tier 2 Voluntary Measures.,Commercial,,,2030 and 2035,On or before December 2020
,,,,CA_City_Santee_2020_files_part59.htm,,,,315,263,,,False,True,City Action: Create Active Transportation Routes Between Santee Light Rail Station and Reduce Parking Near Transit,,,,Construct a total of 25 miles of active transportation routes from Santee Light Rail Transit station to surrounding residential areas. Amend zoning ordinances to reduce parking spaces by 10 percent near stations.,Transportation,,,2030 and 2035,Starting in 2020 with completion by 2030
,,,,CA_City_Santee_2020_files_part59.htm,,,,"21,723","47,414",,,False,True,City Action: Require Electric Vehicle Chargers,,,,Require all new residential and commercial development to install e-chargers.,Transportation,,,2030 and 2035,On or before December 2020
,,,,CA_City_Santee_2020_files_part59.htm,,,,"1,800","2,783",,,False,True,City Action: Require all New Development to Install Photovoltaic Solar Systems,,,,"New single-family homes to install at least 2kW per home; Multi-family residential to install at least 1kW per unit; commercial to install at least 1.5 W per square feet, unless installation is infeasible.",Clean Energy,,,2030 and 2035,Starting in 2020
,,,,CA_City_DelMar_2016_files_part147.htm,,470,,,"1,193",,,False,True,CA Renewable Portfolio Standard - Utility,,,,,Energy,,,,
,,,,CA_City_DelMar_2016_files_part147.htm,,"1,879",,,"4,771",,,False,True,CA Renewable Portfolio Standard - CCA,,,,,Energy,,,,
,,,,CA_City_DelMar_2016_files_part147.htm,,"3,076",,,"1,714",,,False,True,Low Carbon Fuel Standards,,,,,Transportation,,,,
,,,,CA_City_DelMar_2016_files_part147.htm,,"1,449",,,"1,714",,,False,True,Vehicle Efficiency Standards - Pavley I/CAFE,,,,,Transportation,,,,
,,,,CA_City_DelMar_2016_files_part147.htm,,8,,,46,,,False,True,Mass Transit Ridership,,,,,Transportation,,,,
,,,,CA_City_DelMar_2016_files_part147.htm,,3,,,2,,,False,True,Bicycle Strategy,,,,,Transportation,,,,
,,,,CA_City_DelMar_2016_files_part147.htm,,"4,456",,,"8,593",,,False,True,Electric Vehicles (EVs) and Alternative Fuel Vehicles (AFV),,,,,Transportation,,,,
,,,,CA_City_DelMar_2016_files_part147.htm,,968,,,"4,771",,,False,True,Community Choice Aggregation Program,,,,,Energy,,,,
,,,,CA_City_DelMar_2016_files_part147.htm,,237,,,504,,,False,True,Residential Photovoltaic (PV),,,,,Energy,,,,
,,,,CA_City_DelMar_2016_files_part147.htm,,122,,,199,,,False,True,Residential Efficiency Retrofits-Single Family (SF) Homes,,,,,Energy,,,,
,,,,CA_City_DelMar_2016_files_part147.htm,,27,,,57,,,False,True,Residential Solar Hot Water Heater (SHW) for New Construction and Retrofits,,,,,Energy,,,,
,,,,CA_City_DelMar_2016_files_part147.htm,,770,,,"1,702",,,False,True,Divert Waste from Landfills & Capture Emissions,,,,,Waste Management,,,,
,,,,CA_City_DelMar_2016_files_part147.htm,,30,,,133,,,False,True,Reduce Indoor Water Consumption in remodeled SF homes,,,,,Water Management,,,,
,,,,CA_City_DelMar_2016_files_part147.htm,,47,,,20,,,False,True,Reduce Outdoor Water Consumption,,,,,Water Management,,,,
,,,,CA_City_ImperialBeach_2019_files_part31.htm,,,,,,,,False,True,Clean and Efficient Transportation: Requires expansion of electric vehicle charging infrastructure and cleaner municipal vehicles,,,,,Transportation,,,,
,,,,CA_City_ImperialBeach_2019_files_part31.htm,,,,,,,,False,True,Reduce Vehicle Miles Traveled (VMT): Requires continued investments in biking and walking infrastructure and public transit. Also includes City investment in a fleet of electric bicycles for staff use for official City business,,,,,Transportation,,,,
,,,,CA_City_ImperialBeach_2019_files_part31.htm,,,,,,,,False,True,Increase Renewable Electricity: Requires the City to explore options to increase grid-supplied renewable electricity which could include joining a regional CCE program. Also requires new solar PV on new and redeveloped commercial projects and consideration of solar PV at existing public facilities,,,,,Energy,,,,
,,,,CA_City_ImperialBeach_2019_files_part31.htm,,,,,,,2050,False,True,Zero Waste: Requires the adoption of a “Zero Waste” policy to be achieved by 2050 and collaboration with the City’s waste service provider to achieve statewide waste diversion targets,,,,,Waste,,,2050,
,,,,CA_City_ImperialBeach_2019_files_part31.htm,,,,,,,,False,True,"Carbon Sequestration: Requires planting of new trees as part of new development and redevelopment, increased treeplanting along streets, parking lots, other public places, and tracking of tree planting and tree canopy coverage. This also requires the City to explore habitat enhancement and conservation opportunities",,,,,Forestry,,,,
,,,,CA_City_DelMar_2016_files_part84.htm,,,,,,,,False,True,"Improving pedestrian infrastructure will encourage residents to walk to work, if possible, and to various destinations within town as opposed to using their personal vehicles, thereby reducing VMT.",,,,,Transportation,,4 percent labor force participation by 2020 and 10 percent labor force participation by 2035.,,
,,,,CA_City_DelMar_2016_files_part84.htm,,,,,,,,False,True,"Incorporate a “Complete Streets” approach in designing streets and explore adoption of a Complete Streets policy, either as a standalone policy of as part of the Community Plan, which considers every transportation mode and user for applicable arterial streets and incorporates multimodal design principles in all projects",,,,,Transportation,,,,
,,,,CA_City_DelMar_2016_files_part84.htm,,,,,,,,False,True,Explore development of a pedestrian master plan that would comprehensively review and plan for pedestrian improvements and identify mobility linkages to promote walkability and safety for pedestrians,,,,,Transportation,,,,
,,,,CA_City_DelMar_2016_files_part84.htm,,,,,,,,False,True,"Complete a streetscape improvement project along Camino Del Mar in the central area that subscribes to alternative transportation principles and improves circulation, ADA access, and safety for pedestrians.",,,,,Transportation,,,,
,,,,CA_City_DelMar_2016_files_part84.htm,,,,,,,,False,True,Pursue completion of the last segment of the scenic loop trail on the perimeter of the City limits which serves a recreational amenity for pedestrians and as another circulation option within the community,,,,,Transportation,,,,
,,,,CA_City_DelMar_2016_files_part84.htm,,"4,456 MTCO2e",,,"8,593 MTCO2e",,,False,True,Increase the Percentage of VMT Being Driven by Electric and Alternative Fuel Vehicles,,,,,Transportation,,,,
,,,,CA_County_SanDiego_2018_files_part127.htm,,,,,,,,False,True,Electricity from renewable sources accounts for 90% of the unincorporated county’s electricity consumption,,,,,Energy,,Electricity from renewable sources accounts for 90%,2030,2030
,,,,CA_County_SanDiego_2018_files_part230.htm,,,,,,,,True,False,"Collaborate with regional partners on flooding preparedness initiatives, such as Evaluation of and improvements to stormwater infrastructure for high-intensity rainfall events",,,,,,,,,
,,,,CA_County_SanDiego_2018_files_part230.htm,,,,,,,,True,False,Improvements to sewage and solid-waste management infrastructure,,,,,,,,,
,,,,CA_County_SanDiego_2018_files_part230.htm,,,,,,,,True,False,Use of pervious pavements and landscaping in developed areas,,,,,,,,,
,,,,CA_County_SanDiego_2018_files_part230.htm,,,,,,,,True,False,Mapping of critical facilities and infrastructure,,,,,,,,,
,,,,CA_County_SanDiego_2018_files_part230.htm,,,,,,,,True,False,Locations vulnerable to flooding and upgrade and/or relocation of infrastructure where applicable,,,,,,,,,
,,,,CA_County_SanDiego_2018_files_part230.htm,,,,,,,,True,False,Replanting of bare or disturbed areas,,,,,,,,,
,,,,CA_County_SanDiego_2018_files_part230.htm,,,,,,,,True,False,Implementation of the MHMP to address climate change-related flooding impacts,,,,,,,,,
,,,,CA_County_SanDiego_2018_files_part230.htm,,,,,,,,True,False,Improve flood warning and information dissemination,,,,,,,,,
,,,,CA_City_Santee_2020_files_part86.htm,,,,,,,,True,False,"Map neighborhoods that could be more vulnerable to the effects of climate change, such as flooding, fire, and the urban heat island effect is important in identifying high risk areas of the City.",,,,,,,,,
,,,,CA_City_Santee_2020_files_part86.htm,,,,,,,,True,False,"Create cooling centers at public spaces, such as libraries, for populations without air conditioning.",,,,,,,,,
,,,,CA_City_Santee_2020_files_part86.htm,,,,,,,,True,False,Implement cooling technologies such as cool roofs and cool pavements.,,,,,,,,,
,,,,CA_City_Santee_2020_files_part86.htm,,,,,,,,True,False,"Strategically place shade trees near buildings, in parking lots, and along bike and pedestrian pathways.",,,,,,,,,
